Country,Time,Annual CO2 emissions (per capita)
Liechtenstein,2021,3.8647652
Lithuania,2015,4.494177
Lithuania,2016,4.551006
Lithuania,2017,4.672769
Lithuania,2018,4.7603407
Lithuania,2019,4.886943
Lithuania,2020,4.8410826
Lithuania,2021,4.981188
Luxembourg,2015,16.41591
Luxembourg,2016,15.580967
Luxembourg,2017,15.531365
Luxembourg,2018,15.736727
Luxembourg,2019,15.729075
Luxembourg,2020,12.843433
Luxembourg,2021,13.067673
Macao,2015,3.248601
Macao,2016,2.841425
Macao,2017,3.017895
Macao,2018,1.9079933
Macao,2019,1.8274176
Macao,2020,1.8805522
Macao,2021,1.8740766
Madagascar,2015,0.12987387
Madagascar,2016,0.12813878
Madagascar,2017,0.15739256
Madagascar,2018,0.14237654
Madagascar,2019,0.15613857
Madagascar,2020,0.14173806
Madagascar,2021,0.146784
Malawi,2015,0.063246265
Malawi,2016,0.068618685
Malawi,2017,0.07607326
Malawi,2018,0.085483655
Malawi,2019,0.084429234
Malawi,2020,0.07594564
Malawi,2021,0.07803988
Malaysia,2015,7.5864425
Malaysia,2016,7.995221
Malaysia,2017,7.762195
Malaysia,2018,8.2436075
Malaysia,2019,8.20496
Malaysia,2020,7.8157063
Malaysia,2021,7.626435
Maldives,2015,3.0113456
Maldives,2016,3.1617982
Maldives,2017,3.202953
Maldives,2018,3.553483
Maldives,2019,3.870847
Maldives,2020,4.006477
Maldives,2021,4.0619364
Mali,2015,0.18056652
Mali,2016,0.17844592
Mali,2017,0.18382406
Mali,2018,0.18433651
Mali,2019,0.187366
Mali,2020,0.18509024
Mali,2021,0.19035652
Malta,2015,3.647275
Malta,2016,2.8999438
Malta,2017,3.1926084
Malta,2018,3.1468256
Malta,2019,3.2745082
Malta,2020,3.103779
Malta,2021,3.273186
Marshall Islands,2015,2.89111
Marshall Islands,2016,2.9552054
Marshall Islands,2017,3.1048217
Marshall Islands,2018,3.185256
Marshall Islands,2019,3.2750838
Marshall Islands,2020,3.5610654
Marshall Islands,2021,3.7781527
Martinique,2015,5.88766
Martinique,2016,6.072144
Martinique,2017,6.037421
Martinique,2018,6.0443625
Martinique,2019,6.235224
Martinique,2020,5.6699557
Martinique,2021,5.6945543
Mauritania,2015,0.7608522
Mauritania,2016,0.6483631
Mauritania,2017,0.82209355
Mauritania,2018,0.8580114
Mauritania,2019,0.8608683
Mauritania,2020,0.8569948
Mauritania,2021,0.8923355
Mauritius,2015,3.255544
Mauritius,2016,3.3584309
Mauritius,2017,3.5034227
Mauritius,2018,3.4847126
Mauritius,2019,3.4879518
Mauritius,2020,3.2426074
Mauritius,2021,3.4426038
Mayotte,2015,1.1774118
Mayotte,2016,1.1545625
Mayotte,2017,1.0919154
Mayotte,2018,1.0418917
Mayotte,2019,1.0255651
Mayotte,2020,0.8942704
Mayotte,2021,0.86475307
Mexico,2015,3.9910128
Mexico,2016,3.9482622
Mexico,2017,3.7904897
Mexico,2018,3.8323855
Mexico,2019,3.7749555
Mexico,2020,3.1088214
Mexico,2021,3.2138007
Moldova,2015,1.4590147
Moldova,2016,1.5204592
Moldova,2017,1.6414043
Moldova,2018,1.7332046
Moldova,2019,1.7657733
Moldova,2020,1.7019565
Moldova,2021,1.8296566
Mongolia,2015,7.853016
Mongolia,2016,8.459694
Mongolia,2017,11.025516
Mongolia,2018,14.32229
Mongolia,2019,14.618863
Mongolia,2020,15.057703
Mongolia,2021,15.029628
Montenegro,2015,3.5312514
Montenegro,2016,3.1822429
Montenegro,2017,3.3254054
Montenegro,2018,3.800595
Montenegro,2019,3.9290168
Montenegro,2020,3.8967185
Montenegro,2021,2.789471
Montserrat,2015,10.812512
Montserrat,2016,5.7384496
Montserrat,2017,6.206225
Montserrat,2018,6.69071
Montserrat,2019,4.8551235
Montserrat,2020,4.1471496
Montserrat,2021,4.659306
Morocco,2015,1.6866901
Morocco,2016,1.6651102
Morocco,2017,1.7302388
Morocco,2018,1.75381
Morocco,2019,1.8897853
Morocco,2020,1.7640363
Morocco,2021,1.9035642
Mozambique,2015,0.23517631
Mozambique,2016,0.29459932
Mozambique,2017,0.24324323
Mozambique,2018,0.2406137
Mozambique,2019,0.23598108
Mozambique,2020,0.21391219
Mozambique,2021,0.2230942
Myanmar,2015,0.42512554
Myanmar,2016,0.40738967
Myanmar,2017,0.4519188
Myanmar,2018,0.66045374
Myanmar,2019,0.6525071
Myanmar,2020,0.67552847
Myanmar,2021,0.67487085
Namibia,2015,1.6871638
Namibia,2016,1.7436866
Namibia,2017,1.7830753
Namibia,2018,1.7271277
Namibia,2019,1.6786424
Namibia,2020,1.5849687
Namibia,2021,1.5867921
Nauru,2015,4.904078
Nauru,2016,4.4749193
Nauru,2017,4.6942263
Nauru,2018,4.599548
Nauru,2019,4.521224
Nauru,2020,4.7010293
Nauru,2021,4.7563233
Nepal,2015,0.25007516
Nepal,2016,0.35033527
Nepal,2017,0.4132759
Nepal,2018,0.52034104
Nepal,2019,0.46573588
Nepal,2020,0.47513276
Nepal,2021,0.47188523
Netherlands,2015,9.632149
Netherlands,2016,9.6272545
Netherlands,2017,9.443368
Netherlands,2018,9.176643
Netherlands,2019,8.813599
Netherlands,2020,7.906681
Netherlands,2021,8.058957
New Caledonia,2015,16.733826
New Caledonia,2016,18.731915
New Caledonia,2017,18.79729
New Caledonia,2018,18.764074
New Caledonia,2019,17.936743
New Caledonia,2020,18.807144
New Caledonia,2021,19.096947
New Zealand,2015,7.8014154
New Zealand,2016,7.3161936
New Zealand,2017,7.519221
New Zealand,2018,7.3792152
New Zealand,2019,7.4855385
New Zealand,2020,6.8081145
New Zealand,2021,6.587057
Nicaragua,2015,0.8622463
Nicaragua,2016,0.8461333
Nicaragua,2017,0.84272456
Nicaragua,2018,0.7910878
Nicaragua,2019,0.78321993
Nicaragua,2020,0.6745165
Nicaragua,2021,0.7385937
Niger,2015,0.109659605
Niger,2016,0.10260682
Niger,2017,0.103577554
Niger,2018,0.0794017
Niger,2019,0.10530145
Niger,2020,0.10238422
Niger,2021,0.10687553
Nigeria,2015,0.59366477
Nigeria,2016,0.6198764
Nigeria,2017,0.582838
Nigeria,2018,0.5304284
Nigeria,2019,0.6261749
Nigeria,2020,0.6248663
Nigeria,2021,0.6419209
Niue,2015,3.9166222
Niue,2016,3.8916624
Niue,2017,3.8751984
Niue,2018,5.764027
Niue,2019,5.657231
Niue,2020,5.909832
Niue,2021,6.0919776
North America,2015,11.605357
North America,2016,11.248419
North America,2017,11.065066
North America,2018,11.294325
North America,2019,11.013043
North America,2020,9.772912
North America,2021,10.28275
North Korea,2015,0.97488004
North Korea,2016,1.085952
North Korea,2017,2.0275576
North Korea,2018,1.8577725
North Korea,2019,2.048663
North Korea,2020,2.1392303
North Korea,2021,2.170811
North Macedonia,2015,3.3303323
North Macedonia,2016,3.3111875
North Macedonia,2017,3.553
North Macedonia,2018,3.326816
North Macedonia,2019,3.7815452
North Macedonia,2020,3.1498134
North Macedonia,2021,3.25748
Norway,2015,8.783596
Norway,2016,8.5485
Norway,2017,8.383301
Norway,2018,8.356611
Norway,2019,7.9995737
Norway,2020,7.6574826
Norway,2021,7.5732727
Oman,2015,16.073395
Oman,2016,14.931376
Oman,2017,15.108304
Oman,2018,15.769014
Oman,2019,15.68125
Oman,2020,15.958552
Oman,2021,17.916525
Pakistan,2015,0.7887914
Pakistan,2016,0.91694945
Pakistan,2017,0.9989776
Pakistan,2018,0.93323416
Pakistan,2019,0.9228277
Pakistan,2020,0.92599887
Pakistan,2021,0.99183357
Palau,2015,11.512961
Palau,2016,11.912107
Palau,2017,12.105953
Palau,2018,11.880807
Palau,2019,12.254864
Palau,2020,12.8908825
Palau,2021,13.210194
Palestine,2015,0.67023367
Palestine,2016,0.7038894
Palestine,2017,0.6952393
Palestine,2018,0.61577606
Palestine,2019,0.66508037
Palestine,2020,0.6011075
Palestine,2021,0.6023757
Panama,2015,2.7263486
Panama,2016,2.5926461
Panama,2017,2.739981
Panama,2018,2.5851011
Panama,2019,3.1705666
Panama,2020,2.7143223
Panama,2021,2.9949045
Papua New Guinea,2015,0.7490007
Papua New Guinea,2016,0.7654302
Papua New Guinea,2017,0.709793
Papua New Guinea,2018,0.80634075
Papua New Guinea,2019,0.8257233
Papua New Guinea,2020,0.8538908
Papua New Guinea,2021,0.85528
Paraguay,2015,0.9789061
Paraguay,2016,1.1415454
Paraguay,2017,1.2695866
Paraguay,2018,1.3204619
Paraguay,2019,1.2625307
Paraguay,2020,1.2137206
Paraguay,2021,1.2793584
Peru,2015,1.6028944
Peru,2016,1.6963995
Peru,2017,1.7000353
Peru,2018,1.7129294
Peru,2019,1.7572007
Peru,2020,1.4258962
Peru,2021,1.669323
Philippines,2015,1.0914071
Philippines,2016,1.1686072
Philippines,2017,1.2661793
Philippines,2018,1.3063054
Philippines,2019,1.3157338
Philippines,2020,1.2092029
Philippines,2021,1.2668023
Poland,2015,8.130483
Poland,2016,8.418466
Poland,2017,8.764865
Poland,2018,8.749628
Poland,2019,8.273783
Poland,2020,7.8984118
Poland,2021,8.577376
Portugal,2015,5.042749
Portugal,2016,4.881782
Portugal,2017,5.3562975
Portugal,2018,5.000966
Portugal,2019,4.6277156
Portugal,2020,4.0589566
Portugal,2021,3.9647021
Qatar,2015,37.823303
Qatar,2016,33.73363
Qatar,2017,36.942753
Qatar,2018,34.420223
Qatar,2019,36.03262
Qatar,2020,33.640438
Qatar,2021,35.587307
Reunion,2015,4.7820597
Reunion,2016,4.8693132
Reunion,2017,4.773148
Reunion,2018,4.7029543
Reunion,2019,4.776165
Reunion,2020,4.283602
Reunion,2021,4.2467885
Romania,2015,3.9182136
Romania,2016,3.8898997
Romania,2017,4.06333
Romania,2018,4.10655
Romania,2019,3.9453893
Romania,2020,3.8132834
Romania,2021,4.104127
Russia,2015,11.265164
Russia,2016,11.196788
Russia,2017,11.372466
Russia,2018,11.674742
Russia,2019,11.612027
Russia,2020,11.154039
Russia,2021,12.09865
Rwanda,2015,0.083328016
Rwanda,2016,0.08959021
Rwanda,2017,0.095476225
Rwanda,2018,0.10224078
Rwanda,2019,0.14118028
Rwanda,2020,0.12641333
Rwanda,2021,0.13033324
Saint Helena,2015,1.9913044
Saint Helena,2016,2.6488342
Saint Helena,2017,1.9909437
Saint Helena,2018,2.0007281
Saint Helena,2019,2.6793418
Saint Helena,2020,2.296806
Saint Helena,2021,2.5396094
Saint Kitts and Nevis,2015,4.9043374
Saint Kitts and Nevis,2016,4.980968
Saint Kitts and Nevis,2017,5.0579157
Saint Kitts and Nevis,2018,5.1371293
Saint Kitts and Nevis,2019,5.2957954
Saint Kitts and Nevis,2020,4.52849
Saint Kitts and Nevis,2021,4.9924207
Saint Lucia,2015,2.7328026
Saint Lucia,2016,2.7620857
Saint Lucia,2017,2.853856
Saint Lucia,2018,2.8629184
Saint Lucia,2019,2.8927286
Saint Lucia,2020,2.4608498
Saint Lucia,2021,2.7046583
Saint Pierre and Miquelon,2015,10.990169
Saint Pierre and Miquelon,2016,11.01035
Saint Pierre and Miquelon,2017,11.028763
Saint Pierre and Miquelon,2018,9.82141
Saint Pierre and Miquelon,2019,11.080646
Saint Pierre and Miquelon,2020,9.495784
Saint Pierre and Miquelon,2021,10.505165
Saint Vincent and the Grenadines,2015,2.2019851
Saint Vincent and the Grenadines,2016,2.281983
Saint Vincent and the Grenadines,2017,2.0477417
Saint Vincent and the Grenadines,2018,2.2965896
Saint Vincent and the Grenadines,2019,2.1647418
Saint Vincent and the Grenadines,2020,1.8534938
Saint Vincent and the Grenadines,2021,2.0478244
Samoa,2015,1.1158332
Samoa,2016,1.1585968
Samoa,2017,1.1822656
Samoa,2018,1.1356364
Samoa,2019,1.2794564
Samoa,2020,1.3313901
Samoa,2021,1.3441752
Sao Tome and Principe,2015,0.60112756
Sao Tome and Principe,2016,0.60875684
Sao Tome and Principe,2017,0.61639035
Sao Tome and Principe,2018,0.6240786
Sao Tome and Principe,2019,0.61461616
Sao Tome and Principe,2020,0.56893665
Sao Tome and Principe,2021,0.5915166
Saudi Arabia,2015,20.728325
Saudi Arabia,2016,19.237926
Saudi Arabia,2017,18.823627
Saudi Arabia,2018,17.881912
Saudi Arabia,2019,18.323465
Saudi Arabia,2020,18.367947
Saudi Arabia,2021,18.70299
Senegal,2015,0.68579584
Senegal,2016,0.67896795
Senegal,2017,0.7098746
Senegal,2018,0.7274772
Senegal,2019,0.79755205
Senegal,2020,0.7753579
Senegal,2021,0.8057197
Serbia,2015,5.8218513
Serbia,2016,6.010688
Serbia,2017,6.0991654
Serbia,2018,5.9619856
Serbia,2019,5.9916444
Serbia,2020,6.0545115
Serbia,2021,4.2304993
Seychelles,2015,5.0201893
Seychelles,2016,5.5039644
Seychelles,2017,5.6492124
Seychelles,2018,5.8271527
Seychelles,2019,5.68628
Seychelles,2020,5.1009903
Seychelles,2021,5.3366547
Sierra Leone,2015,0.14281224
Sierra Leone,2016,0.15352397
Sierra Leone,2017,0.13744348
Sierra Leone,2018,0.13190104
Sierra Leone,2019,0.14798374
Sierra Leone,2020,0.14773816
Sierra Leone,2021,0.15431175
Singapore,2015,9.99393
Singapore,2016,6.242084
Singapore,2017,6.4457793
Singapore,2018,7.91461
Singapore,2019,5.0996385
Singapore,2020,5.060936
Singapore,2021,5.4715614
Sint Maarten (Dutch part),2015,18.48941
Sint Maarten (Dutch part),2016,17.981192
Sint Maarten (Dutch part),2017,16.876734
Sint Maarten (Dutch part),2018,16.296774
Sint Maarten (Dutch part),2019,16.018604
Sint Maarten (Dutch part),2020,13.477382
Sint Maarten (Dutch part),2021,14.704659
Slovakia,2015,6.3542356
Slovakia,2016,6.4282007
Slovakia,2017,6.6390653
Slovakia,2018,6.628356
Slovakia,2019,6.1929975
Slovakia,2020,5.698469
Slovakia,2021,6.481401
Slovenia,2015,6.5613613
Slovenia,2016,6.9207873
Slovenia,2017,6.9681916
Slovenia,2018,6.898
Slovenia,2019,6.6487336
Slovenia,2020,6.0757203
Slovenia,2021,5.921149
Solomon Islands,2015,0.47843048
Solomon Islands,2016,0.46083647
Solomon Islands,2017,0.4440239
Solomon Islands,2018,0.43906265
Solomon Islands,2019,0.43425184
Solomon Islands,2020,0.44757652
Solomon Islands,2021,0.44913858
Somalia,2015,0.04578699
Somalia,2016,0.044605248
Somalia,2017,0.042890634
Somalia,2018,0.041368622
Somalia,2019,0.039892595
Somalia,2020,0.03496785
Somalia,2021,0.035766363
South Africa,2015,7.9858437
South Africa,2016,8.099157
South Africa,2017,7.757252
South Africa,2018,7.5905123
South Africa,2019,8.038351
South Africa,2020,7.4118633
South Africa,2021,7.339827
South Korea,2015,12.436215
South Korea,2016,12.432552
South Korea,2017,12.70659
South Korea,2018,12.968438
South Korea,2019,12.472093
South Korea,2020,11.527396
South Korea,2021,11.886425
South Sudan,2015,0.17085552
South Sudan,2016,0.15396188
South Sudan,2017,0.13647744
South Sudan,2018,0.14415856
South Sudan,2019,0.1581657
South Sudan,2020,0.14131655
South Sudan,2021,0.14719196
Spain,2015,5.861658
Spain,2016,5.621024
Spain,2017,5.9044347
Spain,2018,5.771329
Spain,2019,5.343047
Spain,2020,4.504277
Spain,2021,4.9202914
Sri Lanka,2015,0.9293981
Sri Lanka,2016,1.0745894
Sri Lanka,2017,1.0708443
Sri Lanka,2018,0.97283787
Sri Lanka,2019,1.0263492
Sri Lanka,2020,0.9994752
Sri Lanka,2021,0.9544157
Sudan,2015,0.55511844
Sudan,2016,0.50886613
Sudan,2017,0.55141777
Sudan,2018,0.5205905
Sudan,2019,0.507772
Sudan,2020,0.45083907
Sudan,2021,0.46078634
Suriname,2015,4.186436
Suriname,2016,4.040111
Suriname,2017,3.5933018
Suriname,2018,3.148706
Suriname,2019,4.469178
Suriname,2020,4.295461
Suriname,2021,4.5566983
Sweden,2015,4.4410806
Sweden,2016,4.361959
Sweden,2017,4.2457175
Sweden,2018,4.142262
Sweden,2019,3.9913132
Sweden,2020,3.5215755
Sweden,2021,3.4249187
Switzerland,2015,4.676776
Switzerland,2016,4.680019
Switzerland,2017,4.51728
Switzerland,2018,4.3307433
Switzerland,2019,4.283443
Switzerland,2020,3.9637132
Switzerland,2021,4.019106
Syria,2015,1.4884069
Syria,2016,1.5293263
Syria,2017,1.7179925
Syria,2018,1.5636046
Syria,2019,1.3672318
Syria,2020,1.2593428
Syria,2021,1.2661933
Taiwan,2015,11.731644
Taiwan,2016,11.854681
Taiwan,2017,12.035524
Taiwan,2018,11.921131
Taiwan,2019,11.502985
Taiwan,2020,11.093657
Taiwan,2021,11.85487
Tajikistan,2015,0.6220367
Tajikistan,2016,0.73768955
Tajikistan,2017,0.88043183
Tajikistan,2018,0.99782705
Tajikistan,2019,1.0530323
Tajikistan,2020,0.9885607
Tajikistan,2021,1.060136
Tanzania,2015,0.2024101
Tanzania,2016,0.1997983
Tanzania,2017,0.20265901
Tanzania,2018,0.20290957
Tanzania,2019,0.21785387
Tanzania,2020,0.19924279
Tanzania,2021,0.20536575
Thailand,2015,4.117252
Thailand,2016,4.08616
Thailand,2017,4.133732
Thailand,2018,3.966176
Thailand,2019,4.070233
Thailand,2020,3.8805997
Thailand,2021,3.889545
Timor,2015,0.45578867
Timor,2016,0.48172417
Timor,2017,0.5098557
Timor,2018,0.5023355
Timor,2019,0.5351027
Timor,2020,0.5528247
Timor,2021,0.5574256
Togo,2015,0.24933536
Togo,2016,0.3017712
Togo,2017,0.27505276
Togo,2018,0.27438483
Togo,2019,0.26749972
Togo,2020,0.26575908
Togo,2021,0.27091572
Tonga,2015,1.1046542
Tonga,2016,1.1783468
Tonga,2017,1.2858579
Tonga,2018,1.2890736
Tonga,2019,1.5359025
Tonga,2020,1.6163967
Tonga,2021,1.6490842
Trinidad and Tobago,2015,31.201416
Trinidad and Tobago,2016,27.150461
Trinidad and Tobago,2017,27.267313
Trinidad and Tobago,2018,26.801153
Trinidad and Tobago,2019,26.821892
Trinidad and Tobago,2020,23.552616
Trinidad and Tobago,2021,23.677477
Tunisia,2015,2.6186612
Tunisia,2016,2.5569835
Tunisia,2017,2.5810575
Tunisia,2018,2.5137715
Tunisia,2019,2.4652345
Tunisia,2020,2.2676299
Tunisia,2021,2.575461
Turkey,2015,4.825473
Turkey,2016,5.002561
Turkey,2017,5.240849
Turkey,2018,5.102916
Turkey,2019,4.8120704
Turkey,2020,4.9139
Turkey,2021,5.263368
Turkmenistan,2015,12.780063
Turkmenistan,2016,12.518164
Turkmenistan,2017,12.291216
Turkmenistan,2018,12.077687
Turkmenistan,2019,12.139736
Turkmenistan,2020,11.524936
Turkmenistan,2021,13.0887375
Turks and Caicos Islands,2015,8.519531
Turks and Caicos Islands,2016,8.617347
Turks and Caicos Islands,2017,8.823379
Turks and Caicos Islands,2018,8.737258
Turks and Caicos Islands,2019,8.415367
Turks and Caicos Islands,2020,6.991557
Turks and Caicos Islands,2021,7.558162
Tuvalu,2015,0.67254037
Tuvalu,2016,0.6737771
Tuvalu,2017,0.67539173
Tuvalu,2018,0.6733437
Tuvalu,2019,0.66721296
Tuvalu,2020,0.697385
Tuvalu,2021,0.70781016
Uganda,2015,0.120754786
Uganda,2016,0.123586535
Uganda,2017,0.13399649
Uganda,2018,0.13563222
Uganda,2019,0.13997535
Uganda,2020,0.12401825
Uganda,2021,0.12606297
Ukraine,2015,4.975796
Ukraine,2016,5.219492
Ukraine,2017,4.995539
Ukraine,2018,5.2123866
Ukraine,2019,5.022646
Ukraine,2020,4.7128844
Ukraine,2021,4.6370573
United Arab Emirates,2015,24.26593
United Arab Emirates,2016,23.608854
United Arab Emirates,2017,23.6159
United Arab Emirates,2018,22.99939
United Arab Emirates,2019,22.633892
United Arab Emirates,2020,21.436235
United Arab Emirates,2021,21.792141
United Kingdom,2015,6.4770393
United Kingdom,2016,6.0837545
United Kingdom,2017,5.8634415
United Kingdom,2018,5.7159815
United Kingdom,2019,5.4621234
United Kingdom,2020,4.8652816
United Kingdom,2021,5.1540995
United States,2015,16.563307
United States,2016,16.050102
United States,2017,15.800776
United States,2018,16.187923
United States,2019,15.730885
United States,2020,14.037217
United States,2021,14.858668
Uruguay,2015,1.9813055
Uruguay,2016,1.9102731
Uruguay,2017,1.8007609
Uruguay,2018,1.9173871
Uruguay,2019,1.8929877
Uruguay,2020,1.8362468
Uruguay,2021,1.9665356
Uzbekistan,2015,3.3504968
Uzbekistan,2016,3.5016394
Uzbekistan,2017,3.4098747
Uzbekistan,2018,3.5890794
Uzbekistan,2019,3.6024542
Uzbekistan,2020,3.5267365
Uzbekistan,2021,3.5688467
Vanuatu,2015,0.4771351
Vanuatu,2016,0.5174429
Vanuatu,2017,0.4796968
Vanuatu,2018,0.5915502
Vanuatu,2019,0.52959454
Vanuatu,2020,0.54588795
Vanuatu,2021,0.54789656
Venezuela,2015,5.4325113
Venezuela,2016,4.9569955
Venezuela,2017,4.5932336
Venezuela,2018,3.4424012
Venezuela,2019,3.0758011
Venezuela,2020,2.6839678
Venezuela,2021,2.8279076
Vietnam,2015,2.3617034
Vietnam,2016,2.4278777
Vietnam,2017,2.4782856
Vietnam,2018,2.8891642
Vietnam,2019,3.560416
Vietnam,2020,3.403044
Vietnam,2021,3.344827
Wallis and Futuna,2015,1.8007864
Wallis and Futuna,2016,2.1221247
Wallis and Futuna,2017,2.1443024
Wallis and Futuna,2018,2.1662161
Wallis and Futuna,2019,2.1855986
Wallis and Futuna,2020,2.3177497
Wallis and Futuna,2021,2.3869915
Yemen,2015,0.49387264
Yemen,2016,0.37239638
Yemen,2017,0.3525499
Yemen,2018,0.34017542
Yemen,2019,0.4020657
Yemen,2020,0.37604126
Yemen,2021,0.3782891
Zambia,2015,0.3117247
Zambia,2016,0.34932768
Zambia,2017,0.39558637
Zambia,2018,0.4155687
Zambia,2019,0.42148867
Zambia,2020,0.3846562
Zambia,2021,0.39419338
Zimbabwe,2015,0.8657724
Zimbabwe,2016,0.72882223
Zimbabwe,2017,0.65053254
Zimbabwe,2018,0.7836386
Zimbabwe,2019,0.72386146
Zimbabwe,2020,0.67697036
Zimbabwe,2021,0.7062929
